sensor_id,latitude,longitude,start_time_local,end_time_local,start_time_unix_epoch,end_time_unix_epoch
2F:38:0E:10:6A:80,39.42,-86.424,2025-01-04T16:00:10.837000-05:00,2025-01-04T16:14:41.219714-05:00,1.73602E+12,1.73603E+12
BF:BD:24:10:6A:80,39.385,-77.151,2025-01-04T16:00:13.869000-05:00,2025-01-04T16:05:33.667249-05:00,1.73602E+12,1.73602E+12
71:7F:09:10:6A:80,38.384,-86.966,2025-01-04T16:00:20.381000-05:00,2025-01-04T16:03:00.713211-05:00,1.73602E+12,1.73602E+12
9F:B4:74:40:EE:C0,38.385,-86.961,2025-01-04T16:00:20.578000-05:00,2025-01-04T16:02:40.442525-05:00,1.73602E+12,1.73602E+12
29:90:06:10:6A:80,39.064,-76.955,2025-01-04T16:00:30.117000-05:00,2025-01-04T16:04:43.334017-05:00,1.73602E+12,1.73602E+12
51:7F:07:10:6A:80,38.203,-85.645,2025-01-04T16:01:08.163000-05:00,2025-01-04T16:02:03.687224-05:00,1.73602E+12,1.73602E+12
C7:3E:1E:10:6A:80,39.415,-76.366,2025-01-04T16:01:31.271000-05:00,2025-01-04T16:02:04.182927-05:00,1.73602E+12,1.73602E+12
11:EE:11:10:6A:80,38.332,-75.215,2025-01-04T16:02:20.729000-05:00,2025-01-04T16:40:31.816044-05:00,1.73602E+12,1.73603E+12
51:7F:07:10:6A:80,38.203,-85.645,2025-01-04T16:02:30.328000-05:00,2025-01-04T16:03:09.460687-05:00,1.73602E+12,1.73602E+12
C7:65:73:40:EE:C0,39.291,-81.519,2025-01-04T16:02:38.080000-05:00,2025-01-04T16:03:26.550081-05:00,1.73602E+12,1.73602E+12
61:EE:26:10:6A:80,39.287,-77.263,2025-01-04T16:02:58.441000-05:00,2025-01-04T16:06:16.443826-05:00,1.73602E+12,1.73602E+12
45:86:0C:10:6A:80,39.021,-80.414,2025-01-04T16:03:20.122000-05:00,2025-01-04T18:32:36.217656-05:00,1.73602E+12,1.73603E+12
53:BB:A9:51:7F:C4,37.026,-79.61,2025-01-04T16:03:25.575000-05:00,2025-01-04T17:08:45.714759-05:00,1.73602E+12,1.73603E+12
B9:42:09:10:6A:80,36.793,-76.369,2025-01-04T16:03:34.584000-05:00,2025-01-04T16:04:02.963267-05:00,1.73602E+12,1.73602E+12
C7:65:73:40:EE:C0,39.291,-81.519,2025-01-04T16:04:21.100000-05:00,2025-01-04T16:05:02.542221-05:00,1.73602E+12,1.73602E+12
33:C7:A8:51:7F:C4,39.481,-80.127,2025-01-04T16:04:34.700000-05:00,2025-01-04T16:35:15.855994-05:00,1.73602E+12,1.73603E+12
D1:A0:A9:51:7F:C4,38.018,-84.518,2025-01-04T16:05:03.739000-05:00,2025-01-04T16:05:37.086385-05:00,1.73602E+12,1.73602E+12
67:F4:25:10:6A:80,38.769,-77.447,2025-01-04T16:05:30.502000-05:00,2025-01-04T18:36:20.283563-05:00,1.73602E+12,1.73603E+12
7B:14:75:40:EE:C0,38.957,-76.79,2025-01-04T16:06:03.838000-05:00,2025-01-04T16:48:47.630358-05:00,1.73602E+12,1.73603E+12
C9:4F:0E:10:6A:80,36.742,-76.225,2025-01-04T16:09:48.378000-05:00,2025-01-04T16:53:26.596667-05:00,1.73602E+12,1.73603E+12
F7:CE:74:40:EE:C0,39.411,-76.815,2025-01-04T16:11:09.691000-05:00,2025-01-04T16:58:09.174559-05:00,1.73603E+12,1.73603E+12
2F:0A:04:10:6A:80,36.267,-83.216,2025-01-04T16:11:24.110000-05:00,2025-01-04T17:54:28.797890-05:00,1.73603E+12,1.73603E+12
8B:9B:1F:10:6A:80,38.772,-77.057,2025-01-04T16:11:52.597000-05:00,2025-01-04T16:12:17.799497-05:00,1.73603E+12,1.73603E+12
BD:C0:25:10:6A:80,38.872,-77.258,2025-01-04T16:12:38.969000-05:00,2025-01-04T16:14:57.754691-05:00,1.73603E+12,1.73603E+12
AD:33:25:10:6A:80,39.432,-80.176,2025-01-04T16:13:06.477000-05:00,2025-01-04T17:36:22.365268-05:00,1.73603E+12,1.73603E+12
0F:80:04:10:6A:80,37.421,-77.645,2025-01-04T16:13:43.628000-05:00,2025-01-04T17:23:47.037014-05:00,1.73603E+12,1.73603E+12
53:3E:02:10:6A:80,38.228,-85.632,2025-01-04T16:14:41.006000-05:00,2025-01-04T16:18:04.657416-05:00,1.73603E+12,1.73603E+12
37:12:26:10:6A:80,38.226,-85.632,2025-01-04T16:14:41.110000-05:00,2025-01-04T16:22:23.786878-05:00,1.73603E+12,1.73603E+12
57:DF:0B:10:6A:80,38.223,-85.646,2025-01-04T16:14:41.707000-05:00,2025-01-04T16:18:02.476295-05:00,1.73603E+12,1.73603E+12
CF:6F:04:10:6A:80,38.209,-85.623,2025-01-04T16:14:41.762000-05:00,2025-01-04T16:18:54.817374-05:00,1.73603E+12,1.73603E+12
F9:F4:0A:10:6A:80,38.229,-85.626,2025-01-04T16:14:41.790000-05:00,2025-01-04T16:16:49.856363-05:00,1.73603E+12,1.73603E+12
F3:00:09:10:6A:80,38.213,-85.624,2025-01-04T16:14:41.882000-05:00,2025-01-04T16:26:37.128139-05:00,1.73603E+12,1.73603E+12
8B:E4:08:10:6A:80,38.227,-85.625,2025-01-04T16:14:41.886000-05:00,2025-01-04T16:16:22.602292-05:00,1.73603E+12,1.73603E+12
69:47:75:40:EE:C0,38.224,-85.627,2025-01-04T16:14:41.977000-05:00,2025-01-04T16:17:39.300175-05:00,1.73603E+12,1.73603E+12
F1:15:21:10:6A:80,38.209,-85.628,2025-01-04T16:14:42.279000-05:00,2025-01-04T16:17:29.349285-05:00,1.73603E+12,1.73603E+12
F9:16:03:10:6A:80,38.218,-85.643,2025-01-04T16:14:43.412000-05:00,2025-01-04T16:16:10.160281-05:00,1.73603E+12,1.73603E+12
2B:86:10:10:6A:80,38.223,-85.625,2025-01-04T16:14:43.442000-05:00,2025-01-04T16:19:16.876461-05:00,1.73603E+12,1.73603E+12
25:76:10:10:6A:80,37.596,-78.421,2025-01-04T16:16:27.806000-05:00,2025-01-04T20:27:14.825906-05:00,1.73603E+12,1.73604E+12
5B:FE:27:10:6A:80,38.742,-82.834,2025-01-04T16:16:55.967000-05:00,2025-01-04T16:17:20.155220-05:00,1.73603E+12,1.73603E+12
77:24:11:10:6A:80,39.137,-77.77,2025-01-04T16:17:50.182000-05:00,2025-01-04T17:04:02.537853-05:00,1.73603E+12,1.73603E+12
17:D8:21:10:6A:80,36.645,-81.823,2025-01-04T16:18:28.846000-05:00,2025-01-04T16:18:50.075523-05:00,1.73603E+12,1.73603E+12
51:D9:0C:10:6A:80,37.97,-84.549,2025-01-04T16:19:12.273000-05:00,2025-01-04T17:22:58.445881-05:00,1.73603E+12,1.73603E+12
E3:98:16:10:6A:80,39.443,-78.458,2025-01-04T16:19:41.200000-05:00,2025-01-04T17:13:32.035451-05:00,1.73603E+12,1.73603E+12
17:EB:07:10:6A:80,37.245,-81.09,2025-01-04T16:20:10.507000-05:00,2025-01-04T16:33:32.534158-05:00,1.73603E+12,1.73603E+12
03:CE:25:10:6A:80,38.163,-85.872,2025-01-04T16:20:18.559000-05:00,2025-01-04T17:03:44.006440-05:00,1.73603E+12,1.73603E+12
31:85:24:10:6A:80,39.386,-76.786,2025-01-04T16:20:28.387000-05:00,2025-01-04T16:23:21.732285-05:00,1.73603E+12,1.73603E+12
61:EE:26:10:6A:80,39.287,-77.263,2025-01-04T16:20:44.268000-05:00,2025-01-04T17:32:00.911604-05:00,1.73603E+12,1.73603E+12
43:99:05:10:6A:80,39.112,-84.641,2025-01-04T16:21:06.360000-05:00,2025-01-04T16:21:42.787499-05:00,1.73603E+12,1.73603E+12
9B:59:25:10:6A:80,36.311,-82.199,2025-01-04T16:21:27.782000-05:00,2025-01-04T17:48:36.381686-05:00,1.73603E+12,1.73603E+12
3B:25:02:10:6A:80,35.881,-84.091,2025-01-04T16:21:40.053000-05:00,2025-01-04T17:18:07.732705-05:00,1.73603E+12,1.73603E+12
43:2C:25:10:6A:80,38.031,-77.569,2025-01-04T16:21:45.949000-05:00,2025-01-04T16:45:03.460980-05:00,1.73603E+12,1.73603E+12
D3:43:11:10:6A:80,39.338,-78.442,2025-01-04T16:22:48.591000-05:00,2025-01-04T16:36:51.267862-05:00,1.73603E+12,1.73603E+12
FB:97:24:10:6A:80,39.197,-76.905,2025-01-04T16:22:55.831000-05:00,2025-01-04T18:22:07.558614-05:00,1.73603E+12,1.73603E+12
59:B4:0D:10:6A:80,36.392,-82.567,2025-01-04T16:23:07.593000-05:00,2025-01-04T17:37:49.296866-05:00,1.73603E+12,1.73603E+12
27:AB:05:10:6A:80,38.705,-77.102,2025-01-04T16:23:14.674000-05:00,2025-01-04T16:26:31.005455-05:00,1.73603E+12,1.73603E+12
C5:48:0F:10:6A:80,36.863,-76.276,2025-01-04T16:23:40.743000-05:00,2025-01-04T16:24:14.089677-05:00,1.73603E+12,1.73603E+12
B5:28:26:10:6A:80,37.69,-77.603,2025-01-04T16:24:18.794000-05:00,2025-01-04T17:08:21.566582-05:00,1.73603E+12,1.73603E+12
41:1B:12:10:6A:80,38.912,-84.668,2025-01-04T16:26:32.473000-05:00,2025-01-04T16:32:26.270782-05:00,1.73603E+12,1.73603E+12
EF:C0:19:10:6A:80,37.206,-77.428,2025-01-04T16:27:04.038000-05:00,2025-01-04T18:23:36.031352-05:00,1.73603E+12,1.73603E+12
FB:01:0A:10:6A:80,39.238,-81.599,2025-01-04T16:27:20.957000-05:00,2025-01-04T16:29:52.974996-05:00,1.73603E+12,1.73603E+12
F9:C6:02:10:6A:80,39.25,-81.583,2025-01-04T16:27:21.289000-05:00,2025-01-04T16:31:56.568406-05:00,1.73603E+12,1.73603E+12
4B:D6:1F:10:6A:80,39.26,-81.588,2025-01-04T16:27:21.328000-05:00,2025-01-04T16:29:05.007849-05:00,1.73603E+12,1.73603E+12
77:96:25:10:6A:80,39.236,-81.679,2025-01-04T16:27:21.371000-05:00,2025-01-04T16:28:29.282008-05:00,1.73603E+12,1.73603E+12
CB:C3:26:10:6A:80,39.238,-81.665,2025-01-04T16:27:22.012000-05:00,2025-01-04T16:29:19.440215-05:00,1.73603E+12,1.73603E+12
9B:6F:24:10:6A:80,39.22,-81.669,2025-01-04T16:27:22.028000-05:00,2025-01-04T16:32:56.570742-05:00,1.73603E+12,1.73603E+12
B5:0F:02:10:6A:80,39.267,-81.637,2025-01-04T16:27:22.046000-05:00,2025-01-04T16:32:09.098384-05:00,1.73603E+12,1.73603E+12
97:D7:26:10:6A:80,39.251,-81.602,2025-01-04T16:27:22.065000-05:00,2025-01-04T16:29:49.421576-05:00,1.73603E+12,1.73603E+12
73:27:21:10:6A:80,39.258,-81.586,2025-01-04T16:27:22.084000-05:00,2025-01-04T16:29:21.954671-05:00,1.73603E+12,1.73603E+12
5F:4B:04:10:6A:80,39.228,-81.602,2025-01-04T16:27:22.123000-05:00,2025-01-04T16:29:54.374323-05:00,1.73603E+12,1.73603E+12
71:23:27:10:6A:80,39.25,-81.617,2025-01-04T16:27:22.159000-05:00,2025-01-04T16:29:29.980310-05:00,1.73603E+12,1.73603E+12
79:8B:1A:10:6A:80,39.24,-81.6,2025-01-04T16:27:22.167000-05:00,2025-01-04T16:31:54.454255-05:00,1.73603E+12,1.73603E+12
A5:7F:08:10:6A:80,39.242,-81.587,2025-01-04T16:27:22.209000-05:00,2025-01-04T16:31:26.022648-05:00,1.73603E+12,1.73603E+12
E1:83:04:10:6A:80,39.239,-81.592,2025-01-04T16:27:22.226000-05:00,2025-01-04T16:30:50.193278-05:00,1.73603E+12,1.73603E+12
43:E3:22:10:6A:80,39.255,-81.648,2025-01-04T16:27:22.231000-05:00,2025-01-04T16:31:43.043915-05:00,1.73603E+12,1.73603E+12
7F:78:0B:10:6A:80,39.258,-81.595,2025-01-04T16:27:23.019000-05:00,2025-01-04T16:33:48.798264-05:00,1.73603E+12,1.73603E+12
57:0C:1A:10:6A:80,39.258,-81.598,2025-01-04T16:27:23.042000-05:00,2025-01-04T16:30:47.899188-05:00,1.73603E+12,1.73603E+12
09:08:0B:10:6A:80,39.258,-81.598,2025-01-04T16:27:23.108000-05:00,2025-01-04T16:32:45.115014-05:00,1.73603E+12,1.73603E+12
BB:79:10:10:6A:80,39.246,-81.646,2025-01-04T16:27:23.162000-05:00,2025-01-04T16:31:55.892875-05:00,1.73603E+12,1.73603E+12
BD:E4:24:10:6A:80,39.267,-81.623,2025-01-04T16:27:23.169000-05:00,2025-01-04T16:29:45.592970-05:00,1.73603E+12,1.73603E+12
15:58:28:10:6A:80,39.236,-81.671,2025-01-04T16:27:23.197000-05:00,2025-01-04T16:31:31.632504-05:00,1.73603E+12,1.73603E+12
F1:89:24:10:6A:80,39.264,-81.618,2025-01-04T16:27:23.207000-05:00,2025-01-04T16:30:34.725861-05:00,1.73603E+12,1.73603E+12
F9:E9:11:10:6A:80,38.715,-77.294,2025-01-04T16:27:23.208000-05:00,2025-01-04T17:24:46.604744-05:00,1.73603E+12,1.73603E+12
49:79:28:10:6A:80,39.264,-81.626,2025-01-04T16:27:23.209000-05:00,2025-01-04T16:29:57.241417-05:00,1.73603E+12,1.73603E+12
03:2D:24:10:6A:80,39.263,-81.616,2025-01-04T16:27:23.251000-05:00,2025-01-04T16:31:27.524444-05:00,1.73603E+12,1.73603E+12
07:D1:AA:51:7F:C4,39.243,-81.586,2025-01-04T16:27:23.255000-05:00,2025-01-04T16:39:40.358222-05:00,1.73603E+12,1.73603E+12
8D:31:25:10:6A:80,39.244,-81.589,2025-01-04T16:27:23.288000-05:00,2025-01-04T16:31:15.935558-05:00,1.73603E+12,1.73603E+12
7D:05:05:10:6A:80,39.267,-81.641,2025-01-04T16:27:23.301000-05:00,2025-01-04T16:27:45.140926-05:00,1.73603E+12,1.73603E+12
9F:21:1F:10:6A:80,39.247,-81.652,2025-01-04T16:27:23.315000-05:00,2025-01-04T16:30:50.738686-05:00,1.73603E+12,1.73603E+12
55:3D:A8:51:7F:C4,39.261,-81.628,2025-01-04T16:27:23.355000-05:00,2025-01-04T16:29:04.984032-05:00,1.73603E+12,1.73603E+12
FB:25:03:10:6A:80,39.249,-81.583,2025-01-04T16:27:23.360000-05:00,2025-01-04T16:29:14.973847-05:00,1.73603E+12,1.73603E+12
01:CD:06:10:6A:80,39.223,-81.68,2025-01-04T16:27:23.366000-05:00,2025-01-04T16:29:20.187089-05:00,1.73603E+12,1.73603E+12
A7:1D:04:10:6A:80,39.244,-81.586,2025-01-04T16:27:23.380000-05:00,2025-01-04T16:29:14.368610-05:00,1.73603E+12,1.73603E+12
AD:79:0D:10:6A:80,39.257,-81.594,2025-01-04T16:27:23.410000-05:00,2025-01-04T16:31:07.549711-05:00,1.73603E+12,1.73603E+12
1B:F6:A9:51:7F:C4,39.256,-81.602,2025-01-04T16:27:23.432000-05:00,2025-01-04T16:30:26.144740-05:00,1.73603E+12,1.73603E+12
CD:7D:23:10:6A:80,39.243,-81.587,2025-01-04T16:27:23.443000-05:00,2025-01-04T16:31:20.281996-05:00,1.73603E+12,1.73603E+12
8F:96:04:10:6A:80,39.265,-81.611,2025-01-04T16:27:23.491000-05:00,2025-01-04T16:32:36.042992-05:00,1.73603E+12,1.73603E+12
F7:12:0B:10:6A:80,39.263,-81.626,2025-01-04T16:27:23.492000-05:00,2025-01-04T16:27:45.201417-05:00,1.73603E+12,1.73603E+12
59:22:12:10:6A:80,39.264,-81.634,2025-01-04T16:27:23.513000-05:00,2025-01-04T16:31:49.899427-05:00,1.73603E+12,1.73603E+12
E7:AE:03:10:6A:80,39.235,-81.679,2025-01-04T16:27:23.521000-05:00,2025-01-04T16:30:10.090915-05:00,1.73603E+12,1.73603E+12
ED:B2:05:10:6A:80,39.252,-81.625,2025-01-04T16:27:23.596000-05:00,2025-01-04T16:31:01.829554-05:00,1.73603E+12,1.73603E+12
1D:8B:07:10:6A:80,37.268,-80.055,2025-01-04T16:27:55.646000-05:00,2025-01-04T16:28:32.189200-05:00,1.73603E+12,1.73603E+12
D9:04:25:10:6A:80,39.367,-77.13,2025-01-04T16:28:11.324000-05:00,2025-01-04T16:28:32.244641-05:00,1.73603E+12,1.73603E+12
1D:8B:07:10:6A:80,37.268,-80.055,2025-01-04T16:28:55.548000-05:00,2025-01-04T16:29:41.950696-05:00,1.73603E+12,1.73603E+12
15:27:0E:10:6A:80,39.07,-84.315,2025-01-04T16:29:25.980000-05:00,2025-01-04T17:23:38.324255-05:00,1.73603E+12,1.73603E+12
B3:C3:23:10:6A:80,38.927,-77.067,2025-01-04T16:30:06.710000-05:00,2025-01-04T19:29:31.489452-05:00,1.73603E+12,1.73604E+12
BF:9C:07:10:6A:80,39.031,-77.072,2025-01-04T16:30:13.388000-05:00,2025-01-04T19:06:10.259760-05:00,1.73603E+12,1.73604E+12
83:90:0A:10:6A:80,38.827,-86.477,2025-01-04T16:32:37.960000-05:00,2025-01-04T16:36:02.545619-05:00,1.73603E+12,1.73603E+12
B3:AF:25:10:6A:80,36.328,-84.219,2025-01-04T16:32:52.118000-05:00,2025-01-04T16:35:00.799852-05:00,1.73603E+12,1.73603E+12
41:8E:24:10:6A:80,38.633,-76.56,2025-01-04T16:32:53.610000-05:00,2025-01-04T18:37:07.626395-05:00,1.73603E+12,1.73603E+12
13:D9:74:40:EE:C0,36.435,-84.036,2025-01-04T16:33:35.972000-05:00,2025-01-04T17:40:36.033294-05:00,1.73603E+12,1.73603E+12
B7:E4:0A:10:6A:80,39.328,-77.353,2025-01-04T16:33:47.973000-05:00,2025-01-04T16:34:14.670885-05:00,1.73603E+12,1.73603E+12
AF:82:09:10:6A:80,38.985,-76.31,2025-01-04T16:33:57.978000-05:00,2025-01-04T17:19:34.486408-05:00,1.73603E+12,1.73603E+12
B9:67:04:10:6A:80,38.69,-76.627,2025-01-04T16:34:24.143000-05:00,2025-01-04T16:34:54.064553-05:00,1.73603E+12,1.73603E+12
FD:C8:06:10:6A:80,38.909,-77.568,2025-01-04T16:34:31.398000-05:00,2025-01-04T17:16:04.869920-05:00,1.73603E+12,1.73603E+12
D1:A0:A9:51:7F:C4,38.018,-84.518,2025-01-04T16:34:41.009000-05:00,2025-01-04T16:35:08.814547-05:00,1.73603E+12,1.73603E+12
01:47:06:10:6A:80,38.85,-77.263,2025-01-04T16:35:12.132000-05:00,2025-01-04T17:18:00.133833-05:00,1.73603E+12,1.73603E+12
E1:28:0D:10:6A:80,36.589,-80.527,2025-01-04T16:35:55.119000-05:00,2025-01-04T17:29:01.856425-05:00,1.73603E+12,1.73603E+12
99:7A:25:10:6A:80,39.349,-84.477,2025-01-04T16:37:54.186000-05:00,2025-01-04T16:39:11.813003-05:00,1.73603E+12,1.73603E+12
7B:18:0D:10:6A:80,37.136,-80.131,2025-01-04T16:38:50.697000-05:00,2025-01-04T20:18:49.295699-05:00,1.73603E+12,1.73604E+12
FF:8E:1A:10:6A:80,37.106,-84.548,2025-01-04T16:38:53.824000-05:00,2025-01-04T16:41:05.198666-05:00,1.73603E+12,1.73603E+12
D9:C5:0D:10:6A:80,38.961,-76.506,2025-01-04T16:38:55.331000-05:00,2025-01-04T16:41:26.688772-05:00,1.73603E+12,1.73603E+12
91:DF:26:10:6A:80,38.655,-76.6,2025-01-04T16:39:00.243000-05:00,2025-01-04T19:40:31.243987-05:00,1.73603E+12,1.73604E+12
1D:35:07:10:6A:80,37.671,-77.551,2025-01-04T16:39:38.567000-05:00,2025-01-04T17:10:22.969506-05:00,1.73603E+12,1.73603E+12
A7:C9:10:10:6A:80,39.015,-77.381,2025-01-04T16:40:30.834000-05:00,2025-01-04T17:27:37.361900-05:00,1.73603E+12,1.73603E+12
27:79:28:10:6A:80,36.82,-82.449,2025-01-04T16:41:09.106000-05:00,2025-01-04T16:41:41.669333-05:00,1.73603E+12,1.73603E+12
47:77:07:10:6A:80,38.181,-85.781,2025-01-04T16:41:20.950000-05:00,2025-01-04T17:29:19.921549-05:00,1.73603E+12,1.73603E+12
03:7E:0E:10:6A:80,38.18,-85.837,2025-01-04T16:41:37.375000-05:00,2025-01-04T16:42:07.307672-05:00,1.73603E+12,1.73603E+12
87:C5:73:40:EE:C0,38.95,-81.991,2025-01-04T16:41:42.905000-05:00,2025-01-04T16:42:18.670180-05:00,1.73603E+12,1.73603E+12
EF:44:08:10:6A:80,38.987,-77.362,2025-01-04T16:43:23.033000-05:00,2025-01-04T16:44:57.718381-05:00,1.73603E+12,1.73603E+12
31:B2:21:10:6A:80,38.9,-76.839,2025-01-04T16:43:41.627000-05:00,2025-01-04T18:09:39.810718-05:00,1.73603E+12,1.73603E+12
5F:68:10:10:6A:80,37.929,-77.244,2025-01-04T16:43:46.970000-05:00,2025-01-04T16:44:34.099884-05:00,1.73603E+12,1.73603E+12
75:33:13:10:6A:80,37.656,-81.093,2025-01-04T16:43:58.536000-05:00,2025-01-04T17:26:11.450038-05:00,1.73603E+12,1.73603E+12
