sensor_id,latitude,longitude,start_time_local,end_time_local,start_time_unix_epoch,end_time_unix_epoch
FB:4F:A5:51:7F:C4,32.805,-97.202,2025-01-06T00:01:11.293000-06:00,2025-01-06T03:27:17.155020-06:00,1.73614E+12,1.73616E+12
F9:4A:A7:51:7F:C4,32.623,-96.785,2025-01-06T00:01:51.195000-06:00,2025-01-06T01:05:57.632786-06:00,1.73614E+12,1.73615E+12
CB:B6:1E:10:6A:80,32.78,-96.207,2025-01-06T00:03:33.258000-06:00,2025-01-06T05:09:45.813027-06:00,1.73614E+12,1.73616E+12
55:AE:15:10:6A:80,33.16,-96.76,2025-01-06T00:07:28.956000-06:00,2025-01-06T00:48:13.276872-06:00,1.73614E+12,1.73615E+12
33:71:A9:51:7F:C4,32.677,-96.82,2025-01-06T00:11:26.886000-06:00,2025-01-06T06:30:03.062486-06:00,1.73614E+12,1.73617E+12
FF:C3:10:10:6A:80,32.809,-96.698,2025-01-06T00:11:32.204000-06:00,2025-01-06T00:12:06.094713-06:00,1.73614E+12,1.73614E+12
D3:18:08:10:6A:80,33.128,-96.639,2025-01-06T00:12:52.591000-06:00,2025-01-06T06:52:26.513453-06:00,1.73614E+12,1.73617E+12
AF:C6:A8:51:7F:C4,32.878,-96.823,2025-01-06T00:13:25.585000-06:00,2025-01-06T00:56:17.364286-06:00,1.73614E+12,1.73615E+12
51:74:03:10:6A:80,32.329,-96.197,2025-01-06T00:13:55.429000-06:00,2025-01-06T08:44:05.035000-06:00,1.73614E+12,1.73617E+12
35:17:16:10:6A:80,33.142,-96.865,2025-01-06T00:14:17.852000-06:00,2025-01-06T08:13:44.831403-06:00,1.73614E+12,1.73617E+12
89:36:08:10:6A:80,32.288,-96.164,2025-01-06T00:15:10.436000-06:00,2025-01-06T00:51:28.965248-06:00,1.73614E+12,1.73615E+12
6F:65:06:10:6A:80,33.17,-97.102,2025-01-06T00:16:20.188000-06:00,2025-01-06T00:58:20.743725-06:00,1.73614E+12,1.73615E+12
7F:9C:AA:51:7F:C4,33.158,-96.753,2025-01-06T00:17:21.002000-06:00,2025-01-06T07:14:55.512297-06:00,1.73614E+12,1.73617E+12
51:0B:AB:51:7F:C4,33.042,-96.679,2025-01-06T00:19:53.718000-06:00,2025-01-06T01:04:33.508981-06:00,1.73614E+12,1.73615E+12
4D:36:75:40:EE:C0,33.036,-96.825,2025-01-06T00:23:00.591000-06:00,2025-01-06T01:04:27.080000-06:00,1.73614E+12,1.73615E+12
1B:94:A6:51:7F:C4,32.69,-96.996,2025-01-06T00:24:04.010000-06:00,2025-01-06T06:15:51.192872-06:00,1.73614E+12,1.73617E+12
03:ED:18:10:6A:80,32.576,-96.929,2025-01-06T00:24:32.883000-06:00,2025-01-06T01:10:37.910671-06:00,1.73614E+12,1.73615E+12
FF:25:27:10:6A:80,32.625,-96.785,2025-01-06T00:26:23.794000-06:00,2025-01-06T01:18:20.640792-06:00,1.73614E+12,1.73615E+12
F5:33:16:10:6A:80,33.536,-96.992,2025-01-06T00:27:22.779000-06:00,2025-01-06T00:59:38.449931-06:00,1.73614E+12,1.73615E+12
B3:88:A6:51:7F:C4,32.961,-97.276,2025-01-06T00:27:38.975000-06:00,2025-01-06T02:32:42.851253-06:00,1.73614E+12,1.73615E+12
47:4B:13:10:6A:80,33.033,-97.106,2025-01-06T00:27:39.729000-06:00,2025-01-06T01:48:23.414107-06:00,1.73614E+12,1.73615E+12
4D:32:01:10:6A:80,32.992,-96.696,2025-01-06T00:30:11.682000-06:00,2025-01-06T03:30:50.133596-06:00,1.73615E+12,1.73616E+12
C5:3F:05:10:6A:80,33.104,-96.636,2025-01-06T00:30:42.469000-06:00,2025-01-06T08:30:30.624144-06:00,1.73615E+12,1.73617E+12
A1:B9:27:10:6A:80,32.334,-95.325,2025-01-06T00:34:12.373000-06:00,2025-01-06T10:37:14.245788-06:00,1.73615E+12,1.73618E+12
17:82:A5:51:7F:C4,32.634,-97.342,2025-01-06T00:34:38.286000-06:00,2025-01-06T00:35:37.243361-06:00,1.73615E+12,1.73615E+12
27:AD:08:10:6A:80,32.824,-97.126,2025-01-06T00:34:40.754000-06:00,2025-01-06T00:35:08.477907-06:00,1.73615E+12,1.73615E+12
8B:87:11:10:6A:80,32.746,-97.635,2025-01-06T00:34:42.747000-06:00,2025-12-31T23:59:59-06:00,1.73615E+12,1.76725E+12
21:C6:07:10:6A:80,32.82,-96.6,2025-01-06T00:35:37.561000-06:00,2025-01-06T01:48:20.492811-06:00,1.73615E+12,1.73615E+12
85:18:21:10:6A:80,33.311,-95.951,2025-01-06T00:36:49.760000-06:00,2025-01-06T07:53:34.028241-06:00,1.73615E+12,1.73617E+12
39:50:15:10:6A:80,33.059,-96.76,2025-01-06T00:37:44.798000-06:00,2025-01-06T01:08:25.532945-06:00,1.73615E+12,1.73615E+12
FF:52:73:40:EE:C0,32.31,-97.455,2025-01-06T00:38:45.342000-06:00,2025-01-06T03:52:23.901719-06:00,1.73615E+12,1.73616E+12
BB:D6:04:10:6A:80,32.645,-97.603,2025-01-06T00:39:52.286000-06:00,2025-01-06T01:29:23.028146-06:00,1.73615E+12,1.73615E+12
65:BE:A6:51:7F:C4,32.923,-96.522,2025-01-06T00:42:20.603000-06:00,2025-01-06T07:39:27.059261-06:00,1.73615E+12,1.73617E+12
F7:08:01:10:6A:80,33.899,-98.422,2025-01-06T00:43:23.894000-06:00,2025-01-06T01:13:39.123567-06:00,1.73615E+12,1.73615E+12
37:2F:02:10:6A:80,33.044,-96.713,2025-01-06T00:43:55.765000-06:00,2025-01-06T02:14:04.786177-06:00,1.73615E+12,1.73615E+12
B5:7C:A5:51:7F:C4,32.926,-96.526,2025-01-06T00:44:02.911000-06:00,2025-01-06T01:18:42.002164-06:00,1.73615E+12,1.73615E+12
6D:4F:13:10:6A:80,32.216,-98.227,2025-01-06T00:46:40.317000-06:00,2025-01-06T01:26:49.150564-06:00,1.73615E+12,1.73615E+12
63:29:04:10:6A:80,33.145,-96.718,2025-01-06T00:47:12.495000-06:00,2025-01-06T01:29:23.238649-06:00,1.73615E+12,1.73615E+12
E7:E9:02:10:6A:80,32.817,-96.823,2025-01-06T00:47:31.458000-06:00,2025-01-06T01:18:18.805211-06:00,1.73615E+12,1.73615E+12
A1:FE:04:10:6A:80,32.192,-95.852,2025-01-06T00:47:34.506000-06:00,2025-01-06T01:29:22.681677-06:00,1.73615E+12,1.73615E+12
47:83:08:10:6A:80,33.274,-96.804,2025-01-06T00:48:06.319000-06:00,2025-01-06T04:23:25.452868-06:00,1.73615E+12,1.73616E+12
