sensor_id,latitude,longitude,outage
A9:0F:24:10:6A:80,33.195,-96.626,no
15:23:24:10:6A:80,32.853,-96.789,no
69:A5:1E:10:6A:80,32.921,-96.788,no
C7:A1:28:10:6A:80,33.135,-97.229,no
C7:FB:23:10:6A:80,32.994,-97.52,no
AF:68:27:10:6A:80,32.957,-97.005,no
81:0B:1F:10:6A:80,32.843,-96.833,no
5B:64:28:10:6A:80,32.261,-97.281,no
29:1C:1F:10:6A:80,33.115,-96.914,no
0B:1B:1F:10:6A:80,33.187,-96.906,no
29:FB:1E:10:6A:80,32.863,-96.842,no
97:32:26:10:6A:80,33.15,-96.855,no
C7:3E:25:10:6A:80,32.957,-97.262,no
57:EB:25:10:6A:80,32.906,-96.799,no
D7:36:26:10:6A:80,32.906,-96.799,no
3F:DF:25:10:6A:80,33.473,-97.304,no
29:12:26:10:6A:80,33.169,-96.703,no
EF:CA:1E:10:6A:80,32.856,-97.219,no
A1:F1:1E:10:6A:80,32.889,-96.873,no
D1:96:28:10:6A:80,32.628,-97.285,no
F7:FE:17:10:6A:80,32.269,-95.672,no
D7:7E:0B:10:6A:80,32.379,-96.856,no
9B:EC:0D:10:6A:80,32.207,-95.349,no
F5:A1:0E:10:6A:80,33.131,-96.611,no
AD:FF:14:10:6A:80,33.233,-97.589,no
95:AE:1E:10:6A:80,33.534,-95.539,yes
53:66:1F:10:6A:80,32.372,-95.609,no
E5:53:A5:51:7F:C4,33.078,-96.594,no
41:CB:A9:51:7F:C4,32.301,-97.984,no
DD:77:AA:51:7F:C4,32.999,-97.163,no
6B:C2:01:10:6A:80,33.083,-97.122,no
67:DE:AA:51:7F:C4,33.036,-96.916,no
25:42:05:10:6A:80,33.028,-97.076,no
ED:AB:73:40:EE:C0,33.185,-96.743,no
D7:6A:71:40:EE:C0,33.13,-96.876,no
25:CB:74:40:EE:C0,33.087,-96.802,no
B5:C9:74:40:EE:C0,32.762,-97.644,no
FB:86:71:40:EE:C0,33.23,-96.92,no
9D:E0:06:10:6A:80,33.096,-96.516,no
DF:66:03:10:6A:80,32.762,-97.644,no
EF:0D:0A:10:6A:80,33.246,-97.109,no
69:58:0A:10:6A:80,32.631,-97.405,no
6B:5A:0A:10:6A:80,32.58,-96.845,no
8B:6B:11:10:6A:80,33.148,-96.771,no
3B:51:0C:10:6A:80,32.983,-96.593,no
69:15:75:40:EE:C0,32.984,-96.967,no
01:40:0D:10:6A:80,32.427,-96.825,no
67:23:12:10:6A:80,32.748,-96.756,no
5D:50:0B:10:6A:80,32.472,-97.742,no
A5:32:0C:10:6A:80,32.343,-95.303,no
4B:A6:74:40:EE:C0,33.11,-96.744,no
3B:E4:0D:10:6A:80,33.004,-96.901,no
95:FD:11:10:6A:80,32.837,-96.696,no
83:39:12:10:6A:80,32.538,-97.327,no
B1:41:12:10:6A:80,33.225,-96.937,no
0D:43:12:10:6A:80,32.649,-97.024,no
9B:25:0C:10:6A:80,32.844,-97.216,no
25:6B:11:10:6A:80,32.715,-97.083,no
1F:C9:12:10:6A:80,32.877,-96.741,no
99:7E:11:10:6A:80,32.664,-97.064,no
B7:6D:09:10:6A:80,32.966,-96.632,no
45:CA:12:10:6A:80,32.576,-96.983,no
4D:20:12:10:6A:80,32.672,-97.505,no
43:E9:11:10:6A:80,32.882,-96.469,no
51:43:0A:10:6A:80,33.144,-96.64,no
E5:EA:09:10:6A:80,33.083,-97.123,no
EB:14:0E:10:6A:80,33.808,-97.237,no
2D:46:0A:10:6A:80,33.226,-96.954,no
0D:99:09:10:6A:80,32.913,-96.73,no
0B:2A:09:10:6A:80,32.611,-96.79,no
D5:7C:11:10:6A:80,33.141,-97.037,no
ED:E4:09:10:6A:80,33.116,-96.684,no
21:5C:11:10:6A:80,33.181,-96.876,no
B7:E9:09:10:6A:80,33.075,-96.519,no
85:E0:09:10:6A:80,33.068,-96.842,no
0D:73:12:10:6A:80,32.989,-96.585,no
45:46:0B:10:6A:80,33.31,-96.544,no
ED:F0:09:10:6A:80,33.169,-96.501,no
1F:3F:03:10:6A:80,32.686,-97.307,no
97:CF:12:10:6A:80,32.681,-97.607,no
35:A7:74:40:EE:C0,33.033,-96.748,no
59:F1:0D:10:6A:80,33.639,-96.668,no
AB:A8:07:10:6A:80,32.777,-97.071,no
AF:09:0E:10:6A:80,32.506,-95.561,no
59:8D:07:10:6A:80,33.035,-96.865,no
4F:99:0D:10:6A:80,33.187,-97.112,no
FD:4D:0A:10:6A:80,32.943,-96.407,no
5B:D1:09:10:6A:80,32.969,-97.146,no
E7:11:12:10:6A:80,32.865,-96.624,no
21:C6:07:10:6A:80,32.82,-96.6,no
E9:45:0A:10:6A:80,32.634,-97.343,no
E9:22:12:10:6A:80,32.96,-96.801,no
4F:B9:0B:10:6A:80,33.14,-97.111,no
5B:77:0E:10:6A:80,33.03,-96.806,no
B1:12:0E:10:6A:80,33.791,-95.408,no
2B:DB:0D:10:6A:80,33.143,-96.867,no
AD:90:09:10:6A:80,33.137,-96.92,no
D1:CB:12:10:6A:80,33.178,-96.802,no
F3:84:10:10:6A:80,32.843,-96.609,no
21:36:03:10:6A:80,32.986,-96.792,no
C1:8A:0E:10:6A:80,32.654,-97.168,no
5F:43:0A:10:6A:80,32.581,-97.356,no
AB:28:0A:10:6A:80,32.805,-97.129,no
0D:A8:07:10:6A:80,33.116,-97.231,no
2F:BA:10:10:6A:80,32.946,-97.394,no
89:91:10:10:6A:80,33.305,-96.99,no
5D:7E:0E:10:6A:80,33.029,-97.06,no
BF:8E:07:10:6A:80,33.174,-96.749,no
DD:D5:11:10:6A:80,33.102,-96.895,no
2D:35:0E:10:6A:80,33.193,-96.73,no
83:CA:74:40:EE:C0,32.703,-96.872,no
07:32:0A:10:6A:80,32.467,-97.296,no
CB:FC:11:10:6A:80,33.642,-95.921,no
2D:22:12:10:6A:80,33.181,-96.781,no
FF:00:0E:10:6A:80,32.331,-97.957,no
03:6D:10:10:6A:80,33.167,-96.684,no
83:26:12:10:6A:80,32.186,-95.858,no
B1:74:0E:10:6A:80,33.042,-97.079,no
FD:6D:11:10:6A:80,32.585,-97.581,no
09:2D:0D:10:6A:80,32.987,-96.55,no
0B:EE:09:10:6A:80,32.958,-96.759,no
EF:B6:10:10:6A:80,33.047,-96.844,no
53:A9:11:10:6A:80,33.026,-96.733,no
A5:D6:07:10:6A:80,33.099,-96.881,no
3F:BE:09:10:6A:80,33.019,-96.806,no
59:FC:12:10:6A:80,32.974,-96.753,no
A3:83:0D:10:6A:80,32.966,-96.858,no
B7:96:11:10:6A:80,33.098,-97.189,no
A5:A8:11:10:6A:80,32.959,-96.973,no
39:91:09:10:6A:80,32.735,-96.85,no
15:5E:11:10:6A:80,33.091,-96.629,no
47:F5:0B:10:6A:80,33.17,-96.717,no
13:EF:11:10:6A:80,32.393,-97.351,no
F3:EB:0E:10:6A:80,32.695,-97.433,no
73:16:0F:10:6A:80,33.048,-96.738,no
5D:43:00:10:6A:80,33.098,-96.349,no
D1:31:71:40:EE:C0,33.19,-96.759,no
71:89:74:40:EE:C0,33.589,-97.864,no
8D:AB:74:40:EE:C0,32.66,-97.217,no
1D:6E:00:10:6A:80,33.206,-96.707,no
BD:D3:01:10:6A:80,32.897,-96.812,no
E7:4D:09:10:6A:80,33.028,-97.107,no
51:61:73:40:EE:C0,33.001,-97.206,no
17:AD:03:10:6A:80,33.112,-96.7,no
41:C8:03:10:6A:80,33.098,-96.769,no
19:C0:02:10:6A:80,33.084,-96.728,no
87:78:09:10:6A:80,32.85,-97.37,no
E7:B0:03:10:6A:80,32.519,-96.38,no
99:F4:74:40:EE:C0,32.858,-97.101,no
53:DA:04:10:6A:80,33.075,-96.722,no
0F:E9:74:40:EE:C0,32.663,-96.805,no
A1:86:02:10:6A:80,32.613,-96.828,no
9F:AE:03:10:6A:80,33.192,-96.712,no
5B:AC:03:10:6A:80,33.103,-96.899,no
A5:B2:02:10:6A:80,32.723,-97.34,no
45:7A:75:40:EE:C0,32.721,-97.124,no
BD:F2:74:40:EE:C0,33.017,-96.825,no
EF:61:73:40:EE:C0,32.963,-96.582,no
01:7F:0A:10:6A:80,32.921,-96.826,no
79:76:74:40:EE:C0,32.943,-96.751,no
29:8C:73:40:EE:C0,32.992,-96.826,no
81:7F:0A:10:6A:80,33.017,-96.917,no
1F:EE:74:40:EE:C0,32.716,-97.362,no
65:5F:0A:10:6A:80,33.085,-96.866,no
ED:F2:74:40:EE:C0,32.349,-97.398,no
7D:8C:75:40:EE:C0,32.848,-97.232,no
8F:FD:74:40:EE:C0,33.048,-96.785,no
AD:F8:74:40:EE:C0,32.883,-96.468,no
CB:49:05:10:6A:80,33.638,-96.634,no
39:CD:03:10:6A:80,33.021,-97.075,no
8D:82:73:40:EE:C0,32.694,-97.342,no
17:8C:75:40:EE:C0,33.144,-97.101,no
39:9F:06:10:6A:80,33.125,-96.702,no
63:80:0A:10:6A:80,32.757,-97.135,no
37:F4:74:40:EE:C0,32.646,-97.431,no
53:87:75:40:EE:C0,32.968,-96.771,no
5D:99:09:10:6A:80,32.752,-97.228,no
6D:5F:73:40:EE:C0,33.151,-96.906,no
AD:C2:03:10:6A:80,33.096,-96.644,no
2B:89:75:40:EE:C0,33.002,-96.925,no
17:AC:03:10:6A:80,33.622,-97.145,no
D7:09:0A:10:6A:80,33.01,-96.862,no
89:82:73:40:EE:C0,33.153,-97.042,no
39:7B:02:10:6A:80,33.081,-96.764,no
3F:56:09:10:6A:80,32.877,-96.841,no
11:A3:03:10:6A:80,32.535,-97.302,no
A3:8B:73:40:EE:C0,32.99,-96.825,no
6B:87:75:40:EE:C0,33.119,-96.088,no
65:E9:74:40:EE:C0,32.012,-97.112,no
35:69:75:40:EE:C0,32.755,-96.764,no
A9:66:75:40:EE:C0,33.011,-96.807,no
9F:88:75:40:EE:C0,33.865,-98.515,no
65:B4:03:10:6A:80,32.139,-95.329,no
CD:93:73:40:EE:C0,32.82,-96.982,no
13:87:75:40:EE:C0,33.284,-96.99,no
07:85:75:40:EE:C0,32.936,-96.707,no
1F:13:75:40:EE:C0,33.002,-96.9,no
77:0C:0A:10:6A:80,32.878,-97.287,no
15:F4:74:40:EE:C0,32.985,-96.721,no
BD:12:75:40:EE:C0,32.946,-97.169,no
7D:AE:03:10:6A:80,33.147,-97.115,no
85:F1:74:40:EE:C0,32.843,-97.151,no
FF:7A:02:10:6A:80,33.079,-96.741,no
13:80:0A:10:6A:80,32.968,-97.109,no
55:8C:75:40:EE:C0,32.937,-97.067,no
AD:9F:06:10:6A:80,32.829,-96.666,no
B3:F6:74:40:EE:C0,33.175,-96.685,no
19:60:73:40:EE:C0,32.818,-97.46,no
A7:78:0A:10:6A:80,32.8,-96.619,no
41:AE:03:10:6A:80,32.891,-96.74,no
2D:72:09:10:6A:80,32.805,-96.971,no
DB:EF:74:40:EE:C0,33.004,-97.054,no
55:93:73:40:EE:C0,32.585,-96.884,no
D3:E9:74:40:EE:C0,32.598,-97.311,no
1D:AF:03:10:6A:80,32.848,-96.553,no
09:B1:03:10:6A:80,33.186,-96.695,no
6F:B2:03:10:6A:80,32.963,-96.679,no
33:6A:09:10:6A:80,32.746,-97.454,no
79:69:75:40:EE:C0,32.915,-96.694,no
33:6C:75:40:EE:C0,32.997,-97.175,no
91:87:75:40:EE:C0,33.098,-97.078,no
3B:F3:74:40:EE:C0,32.83,-97.179,no
29:AC:03:10:6A:80,33.0,-96.839,no
